,questions,answers
56,video_3_condition_0_Hoe heet de hoofdrolspeler?,Daan
57,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,Omdat de andere jongens uit zijn team steeds aan het meisje zitten dat hij leuk vindt
58,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,Hij troost het meisje en kust haar daarna
59,video_3_condition_0_Welke sport speelt het team in deze film?,Korfbal
60,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,Dat kon ik niet lezen
61,video_3_condition_0_Welke kleur heeft de bal?,Wit met blauwe vlakken
62,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,Blauw
63,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,0.10416666666666667
64,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,0.56875
65,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?,Zwart
66,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,Of ze Tom even voor hem willen halen
67,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
68,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,Een klein wit modelautootje
69,video_0_condition_1_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,Daar mag de jongen even rijden
70,video_0_condition_1_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,Dan gaan ze naar de McDonalds om eten te bestellen
71,video_0_condition_1_Wat bestelt de jongen bij het restaurant?,Een BigMac en een vanille milkshake
72,video_0_condition_1_Wat is de relatie tussen de jongen en de chauffeur?,De jongen is de zoon van de chauffeur
73,video_0_condition_1_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,Omdat de jongen zijn milkshake omgooit in de auto
74,video_0_condition_1_Wat zegt de chauffeur tegen de moeder van de jongen?,Niets
